id,name,titles_count,headquarters,origin_country,homepage,tmdb_url
1,Fuji TV,1229,"Minato, Tokyo",JP,,https://www.themoviedb.org/network/1
2,ABC,1609,"New York City, New York",US,,https://www.themoviedb.org/network/2
3,BBC Three,401,"London, England",GB,,https://www.themoviedb.org/network/3
4,BBC One,2554,"London, England",GB,,https://www.themoviedb.org/network/4
5,Bell TV,2,"Montreal, Quebec",CA,,https://www.themoviedb.org/network/5
6,NBC,1630,"New York City, New York",US,,https://www.themoviedb.org/network/6
8,Māori Television,10,Auckland,NZ,,https://www.themoviedb.org/network/8
9,ITV1,2067,"London, England",GB,,https://www.themoviedb.org/network/9
10,Discovery Health Channel,33,"Silver Spring, Maryland",US,,https://www.themoviedb.org/network/10
11,CCTV,133,Beijing,CN,,https://www.themoviedb.org/network/11
12,HTB,79,"Sapporo, Hokkaido",JP,,https://www.themoviedb.org/network/12
13,Nickelodeon,288,"New York City, New York ",US,,https://www.themoviedb.org/network/13
14,PBS,831,"Arlington, Virginia",US,,https://www.themoviedb.org/network/14
15,CBBC,255,"Salford, England",GB,,https://www.themoviedb.org/network/15
16,CBS,1458,"New York City, New York",US,,https://www.themoviedb.org/network/16
17,MTV2,33,"New York City, New York",US,,https://www.themoviedb.org/network/17
18,ABC TV,666,"Ultimo, New South Wales",AU,,https://www.themoviedb.org/network/18
19,FOX,666,"Los Angeles, California",US,,https://www.themoviedb.org/network/19
20,ABS-CBN,417,Quezon City,PH,,https://www.themoviedb.org/network/20
21,The WB,147,"Burbank, California",US,,https://www.themoviedb.org/network/21
22,Discovery Kids,32,"Silver Spring, Maryland",US,,https://www.themoviedb.org/network/22
23,CBC Television,986,"Toronto, Ontario",CA,,https://www.themoviedb.org/network/23
24,BET,117,"New York City, New York",US,,https://www.themoviedb.org/network/24
25,Televisión Nacional de Chile,194,"Providencia, Santiago",CL,,https://www.themoviedb.org/network/25
26,Channel 4,1600,"Leeds, England",GB,,https://www.themoviedb.org/network/26
28,Univision,110,"New York City, New York",US,,https://www.themoviedb.org/network/28
29,ESPN,103,"Bristol, Connecticut",US,,https://www.themoviedb.org/network/29
30,USA Network,166,"New York City, New York",US,,https://www.themoviedb.org/network/30
31,ZDF,1434,"Mainz, Rhineland-Palatinate",DE,,https://www.themoviedb.org/network/31
33,MTV,336,"New York City, New York",US,,https://www.themoviedb.org/network/33
34,Lifetime,190,"New York City, New York",US,,https://www.themoviedb.org/network/34
35,Nick Jr.,30,"New York City, New York ",US,,https://www.themoviedb.org/network/35
36,atv,267,Istanbul,TR,,https://www.themoviedb.org/network/36
37,MSNBC,86,"New York City, New York",US,,https://www.themoviedb.org/network/37
38,10,292,"Sydney, New South Wales",AU,,https://www.themoviedb.org/network/38
39,IRIB TV5,7,"Tehran, Tehran Province",IR,,https://www.themoviedb.org/network/39
40,UPN,108,"Los Angeles, California",US,,https://www.themoviedb.org/network/40
41,TNT,106,"Atlanta, Georgia",US,,https://www.themoviedb.org/network/41
42,TV5,144,Quezon City,PH,,https://www.themoviedb.org/network/42
43,National Geographic,510,"Washington, D.C.",US,,https://www.themoviedb.org/network/43
44,Disney XD,74,"Burbank, California",US,,https://www.themoviedb.org/network/44
45,Fox News Channel,61,"New York City, New York",US,,https://www.themoviedb.org/network/45
46,YTV,187,"Toronto, Ontario",CA,,https://www.themoviedb.org/network/46
47,Comedy Central,190,"New York City, New York",US,,https://www.themoviedb.org/network/47
48,TVB Jade,1548,九龍將軍澳工業邨駿才街七十七號電視廣播城,HK,,https://www.themoviedb.org/network/48
49,HBO,372,"New York City, New York",US,,https://www.themoviedb.org/network/49
50,GMA Network,578,Quezon City,PH,,https://www.themoviedb.org/network/50
51,The Comedy Network,22,"Toronto, Ontario",CA,,https://www.themoviedb.org/network/51
53,Telecinco,190,Madrid,ES,,https://www.themoviedb.org/network/53
54,Disney Channel,229,"Burbank, California",US,,https://www.themoviedb.org/network/54
55,Spike,137,"New York City, New York",US,,https://www.themoviedb.org/network/55
56,Cartoon Network,225,"Atlanta, Georgia",US,,https://www.themoviedb.org/network/56
57,Nippon TV,762,"Minato, Tokyo",JP,,https://www.themoviedb.org/network/57
59,CNN,136,"Atlanta, Georgia",US,,https://www.themoviedb.org/network/59
60,TV Globo,789,Rio de Janeiro,BR,,https://www.themoviedb.org/network/60
61,OUTtv,71,"Vancouver, British Columbia",CA,,https://www.themoviedb.org/network/61
62,Logo,38,"New York City, New York",US,,https://www.themoviedb.org/network/62
63,Game Show Network,65,"Santa Monica, California",US,,https://www.themoviedb.org/network/63
64,Discovery,463,"Silver Spring, Maryland",US,,https://www.themoviedb.org/network/64
65,History,448,"New York City, New York",US,,https://www.themoviedb.org/network/65
66,Nine Network,356,"Sydney, New South Wales",AU,,https://www.themoviedb.org/network/66
67,Showtime,220,"New York City, New York",US,,https://www.themoviedb.org/network/67
68,TBS,106,"Atlanta, Georgia",US,,https://www.themoviedb.org/network/68
69,Q,34,,PH,,https://www.themoviedb.org/network/69
70,ESPN2,30,"Bristol, Connecticut",US,,https://www.themoviedb.org/network/70
71,The CW,182,"Burbank, California",US,,https://www.themoviedb.org/network/71
72,MusiquePlus,21,"Montreal, Quebec",CA,,https://www.themoviedb.org/network/72
74,Bravo,212,"New York City, New York",US,,https://www.themoviedb.org/network/74
75,ABC Family,78,"Burbank, California",US,,https://www.themoviedb.org/network/75
76,E!,163,"Los Angeles, California",US,,https://www.themoviedb.org/network/76
77,Syfy,152,"New York City, New York",US,,https://www.themoviedb.org/network/77
78,DWAO-TV,4,Caloocan,PH,,https://www.themoviedb.org/network/78
80,Adult Swim,141,"Atlanta, Georgia",US,,https://www.themoviedb.org/network/80
81,ESPNU,4,"Bristol, Connecticut",US,,https://www.themoviedb.org/network/81
82,WJYS,1," Tinley Park, Illinois",US,,https://www.themoviedb.org/network/82
83,Teletoon,179,"Toronto, Ontario",CA,,https://www.themoviedb.org/network/83
84,TLC,287,"Silver Spring, Maryland",US,,https://www.themoviedb.org/network/84
85,CMT,51,"Nashville, Tennessee",US,,https://www.themoviedb.org/network/85
87,Fox Sports Detroit,2,"Southfield, Michigan",US,,https://www.themoviedb.org/network/87
88,FX,94,"Burbank, California",US,,https://www.themoviedb.org/network/88
90,CBC News Network,7,"Toronto, Ontario",CA,,https://www.themoviedb.org/network/90
91,Animal Planet,157,"Silver Spring, Maryland",US,,https://www.themoviedb.org/network/91
92,Citytv,43,"Toronto, Ontario",CA,,https://www.themoviedb.org/network/92
93,TVI,131,Queluz de Baixo ,PT,,https://www.themoviedb.org/network/93
94,MBS,418,"Kita, Osaka",JP,,https://www.themoviedb.org/network/94
95,MediaCorp Channel 5,48,,SG,,https://www.themoviedb.org/network/95
96,Telefe,115,Buenos Aires,AR,,https://www.themoviedb.org/network/96
97,MBC,731,"Mapo District, Seoul",KR,,https://www.themoviedb.org/network/97
98,TV Tokyo,1262,"Minato, Tokyo",JP,,https://www.themoviedb.org/network/98
99,5,844,"London, England",GB,,https://www.themoviedb.org/network/99
100,BBC Four,439,"London, England",GB,,https://www.themoviedb.org/network/100
101,TV 2 Zulu,89,Copenhagen ,DK,,https://www.themoviedb.org/network/101
102,The Comedy Channel,16,"Melbourne, Victoria",AU,,https://www.themoviedb.org/network/102
103,tv asahi,892,"Minato, Tokyo",JP,,https://www.themoviedb.org/network/103
105,Showcase,29,"Toronto, Ontario",CA,,https://www.themoviedb.org/network/105
106,Discovery,46,"Toronto, Ontario",CA,,https://www.themoviedb.org/network/106
107,Sky Sports,17,"London, England",GB,,https://www.themoviedb.org/network/107
109,ESPNews,1,"Bristol, Connecticut",US,,https://www.themoviedb.org/network/109
110,CTV,173,"Toronto, Ontario",CA,,https://www.themoviedb.org/network/110
112,CITV,114,London,GB,,https://www.themoviedb.org/network/112
113,Fuse,28,"New York City, New York",US,,https://www.themoviedb.org/network/113
114,Three,90,Auckland,NZ,,https://www.themoviedb.org/network/114
115,Sky Living,41,"London, England",GB,,https://www.themoviedb.org/network/115
116,Challenge,18,"London, England",GB,,https://www.themoviedb.org/network/116
117,Associated Television,27,"London, England",GB,,https://www.themoviedb.org/network/117
118,Seven Network,331,"Sydney, New South Wales",AU,,https://www.themoviedb.org/network/118
119,Bip,4,,IL,,https://www.themoviedb.org/network/119
120,National Educational Television,8,,US,,https://www.themoviedb.org/network/120
122,PBS Kids,63,"Arlington, Virginia",US,,https://www.themoviedb.org/network/122
123,TVNZ 2,62,Auckland,NZ,,https://www.themoviedb.org/network/123
124,IFC,56,"New York City, 	New York",US,,https://www.themoviedb.org/network/124
125,TV 2,472,Odense,DK,,https://www.themoviedb.org/network/125
126,BBC Choice,14,"London, England",GB,,https://www.themoviedb.org/network/126
127,London Weekend Television,25,"London, England",GB,,https://www.themoviedb.org/network/127
128,SBT,173,"Osasco, São Paulo",BR,,https://www.themoviedb.org/network/128
129,A&E,315,"New York City, New York",US,,https://www.themoviedb.org/network/129
131,Fox Sports Sun,1,"Fort Lauderdale, Florida",US,,https://www.themoviedb.org/network/131
132,Oxygen,146,"New York City, New York",US,,https://www.themoviedb.org/network/132
133,Venevisión,104,Caracas,VE,,https://www.themoviedb.org/network/133
134,KTLA,7,"Los Angeles, California",US,,https://www.themoviedb.org/network/134
135,Slice,24,"Toronto, Ontario",CA,,https://www.themoviedb.org/network/135
136,E4,119,"London, England",GB,,https://www.themoviedb.org/network/136
138,Much ,21,"Toronto, Ontario",CA,,https://www.themoviedb.org/network/138
139,S4C,54,"Cardiff, Wales",GB,,https://www.themoviedb.org/network/139
141,ICI Radio-Canada Télé,320,"Montreal, Quebec",CA,,https://www.themoviedb.org/network/141
142,Toon Disney,19,"Burbank, California",US,,https://www.themoviedb.org/network/142
143,Food Network,320,"New York City, New York",US,,https://www.themoviedb.org/network/143
148,STV,58,"Glasgow, Scotland",GB,,https://www.themoviedb.org/network/148
149,ITV2,127,London,GB,,https://www.themoviedb.org/network/149
150,TV One,37,"Silver Spring, Maryland ",US,,https://www.themoviedb.org/network/150
151,UTV,4,"Belfast, Northern Ireland",GB,,https://www.themoviedb.org/network/151
155,RTÉ One,299,Dublin,IE,,https://www.themoviedb.org/network/155
156,SBS,833, Seoul,KR,,https://www.themoviedb.org/network/156
157,TVNorge,151,Oslo,NO,,https://www.themoviedb.org/network/157
158,VH1,237,"New York City, New York",US,,https://www.themoviedb.org/network/158
159,StarPlus,216,"Mumbai, Maharashtra",IN,,https://www.themoviedb.org/network/159
160,TBS,1036,"Minato, Tokyo",JP,,https://www.themoviedb.org/network/160
162,DuMont Television Network,175,,US,,https://www.themoviedb.org/network/162
163,SAT.1,439,"Unterföhring, Bavaria",DE,,https://www.themoviedb.org/network/163
164,G4,44,"Los Angeles, California",US,,https://www.themoviedb.org/network/164
165,DZKB-TV,2,,PH,,https://www.themoviedb.org/network/165
166,CBeebies,177,"City of Salford, Greater Manchester, England",GB,,https://www.themoviedb.org/network/166
168,SportsNet New York,8,"New York City, New York",US,,https://www.themoviedb.org/network/168
169,Channel 2,68,Jerusalem,IL,,https://www.themoviedb.org/network/169
170,Space,26,"Toronto, Ontario",CA,,https://www.themoviedb.org/network/170
171,ANIMAX,83,"Minato, Tokyo Prefecture",JP,,https://www.themoviedb.org/network/171
172,WOWOW Prime,346,"Minato, Tokyo",JP,,https://www.themoviedb.org/network/172
173,AT-X,574,"Minato, Tokyo",JP,,https://www.themoviedb.org/network/173
174,AMC,80,"New York City, New York",US,,https://www.themoviedb.org/network/174
175,CNBC,67," Englewood Cliffs, New Jersey",US,,https://www.themoviedb.org/network/175
177,DD National,75,New Delhi,IN,,https://www.themoviedb.org/network/177
178,RCTI,90,Jakarta,ID,,https://www.themoviedb.org/network/178
179,SOAPnet,6,"Burbank, California",US,,https://www.themoviedb.org/network/179
180,Channel 7,487,Bangkok,TH,,https://www.themoviedb.org/network/180
181,HLN,34,"Atlanta, Georgia",US,,https://www.themoviedb.org/network/181
182,WTVT,3,"Tampa, Florida",US,,https://www.themoviedb.org/network/182
183,RCN,118,Bogotá,CO,,https://www.themoviedb.org/network/183
184,Syndication,432,,US,,https://www.themoviedb.org/network/184
185,GTV,65,,TW,,https://www.themoviedb.org/network/185
186,CNBC Europe,14,,,,https://www.themoviedb.org/network/186
187,TVBS,30,,TW,,https://www.themoviedb.org/network/187
188,Noggin,25,,US,,https://www.themoviedb.org/network/188
189,ORF 1,254,Vienna,AT,,https://www.themoviedb.org/network/189
191,TVOntario,96,"Toronto, Ontario",CA,,https://www.themoviedb.org/network/191
192,M-Net,44,Johannesburg,ZA,,https://www.themoviedb.org/network/192
193,Telemundo,172,"Miami, Florida",US,,https://www.themoviedb.org/network/193
195,CNN-News18,2,"Noida, Uttar Pradesh",IN,,https://www.themoviedb.org/network/195
196,DR2,132,Copenhagen,DK,,https://www.themoviedb.org/network/196
197,Family Channel,52,"Toronto, Ontario",CA,,https://www.themoviedb.org/network/197
198,MyNetworkTV,18,"Los Angeles, California",US,,https://www.themoviedb.org/network/198
199,People's Television Network,8,Quezon City,PH,,https://www.themoviedb.org/network/199
201,CBC,118,,JP,,https://www.themoviedb.org/network/201
202,WGN America,21,,US,,https://www.themoviedb.org/network/202
203,TG4,41,"Baile na hAbhann, Co. Galway, Ireland",IE,,https://www.themoviedb.org/network/203
204,Movie Central,5,"Toronto, Ontario",CA,,https://www.themoviedb.org/network/204
206,AXS TV,25,"Denver, Colorado",US,,https://www.themoviedb.org/network/206
207,RTL,503,"Cologne, North Rhine-Westphalia",DE,,https://www.themoviedb.org/network/207
209,Travel Channel,168,"Chevy Chase, Maryland",US,,https://www.themoviedb.org/network/209
210,HGTV,270,,US,,https://www.themoviedb.org/network/210
211,Prime Time Entertainment Network,4,,US,,https://www.themoviedb.org/network/211
213,Netflix,2746,"Los Gatos, California, USA",,,https://www.themoviedb.org/network/213
214,Sky One,223,,GB,,https://www.themoviedb.org/network/214
215,Gallery HD,2,,US,,https://www.themoviedb.org/network/215
216,Treehouse TV,54,,CA,,https://www.themoviedb.org/network/216
217,Cartoon Network,13,,GB,,https://www.themoviedb.org/network/217
218,Global TV,88,,CA,,https://www.themoviedb.org/network/218
219,NHK BS1,113,,JP,,https://www.themoviedb.org/network/219
221,Eshiuson,0,Canberra,AU,,https://www.themoviedb.org/network/221
222,Intercontinental Broadcasting Corporation,16,Quezon City,PH,,https://www.themoviedb.org/network/222
223,SBS,251,"Artarmon, New South Wales",AU,,https://www.themoviedb.org/network/223
224,Nicktoons,45,,US,,https://www.themoviedb.org/network/224
225,Playboy TV,49,,US,,https://www.themoviedb.org/network/225
226,Science,117,,US,,https://www.themoviedb.org/network/226
227,MSG,3,"New York City, New York",US,,https://www.themoviedb.org/network/227
228,RTÉ2,111,Dublin,IE,,https://www.themoviedb.org/network/228
229,IRIB TV3,42,"Tehran, Tehran Province",IR,,https://www.themoviedb.org/network/229
230,Kabillion,5,"Los Angeles, California",US,,https://www.themoviedb.org/network/230
231,G4,9,"Toronto, Ontario",CA,,https://www.themoviedb.org/network/231
232,Here TV,28,,US,,https://www.themoviedb.org/network/232
233,RFD-TV,4,"Omaha, Nebraska",US,,https://www.themoviedb.org/network/233
234,TeenNick,10,,US,,https://www.themoviedb.org/network/234
